Metric,Value
mean_return,0.411647
median_return,0.330458
std_return,0.486430
percentile_1,-0.370310
percentile_5,-0.218783
percentile_25,0.067057
percentile_75,0.665247
percentile_95,1.316925
percentile_99,1.938765
VaR_95,-0.218783
VaR_99,-0.370310
VaR_999,-0.503367
CVaR_95,-0.311092
CVaR_99,-0.431033
CVaR_999,-0.543294
prob_loss,0.190868
prob_loss_10,0.114749
prob_loss_20,0.058198
prob_loss_50,0.001076
prob_profit,0.809132
prob_profit_10,0.719336
prob_profit_20,0.623248
prob_profit_50,0.358622
skewness,1.183616
kurtosis,2.681565
sharpe_ratio,0.846262
